epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,330098,1.26717,1.03729,1.35511,0.8341,0.74622,0.84316,0.53939,1.33874,0.95576,1.37817,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,333758,1.26542,1.02976,1.35188,0.835,0.74811,0.8434,0.53951,1.33915,0.95598,1.37648,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,337457,1.26574,1.03144,1.35155,0.83714,0.75004,0.84434,0.53965,1.3444,0.94611,1.37918,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,340897,1.26431,1.02613,1.35057,0.83417,0.7527,0.84533,0.54004,1.34347,0.9469,1.38065,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,344552,1.265,1.02786,1.35079,0.83806,0.75107,0.84654,0.54068,1.3435,0.94515,1.38058,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,348460,1.26431,1.02341,1.34992,0.84093,0.75028,0.84741,0.54127,1.34359,0.94326,1.38075,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,352510,1.25889,1.01928,1.34666,0.83577,0.75032,0.84659,0.54129,1.34198,0.94346,1.37994,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,1232.97,1.3481,1.11199,1.19721,0.82478,0.72342,0.81591,0.56396,1.25332,0.9739,1.15256,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,2521.82,1.34264,1.10478,1.19011,0.82927,0.72378,0.81915,0.56772,1.24892,0.97235,1.14734,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,3813.64,1.3354,1.0973,1.18784,0.82804,0.72671,0.82133,0.57033,1.25139,0.97583,1.14565,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,5102.98,1.32815,1.08919,1.18609,0.83045,0.7287,0.82379,0.57233,1.25974,0.98849,1.1489,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6400.32,1.32495,1.09281,1.18521,0.8283,0.73167,0.82444,0.57328,1.29064,1.04928,1.16593,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,7698.45,1.32742,1.08309,1.18294,0.82984,0.73254,0.82586,0.57381,1.30613,1.07881,1.17044,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,9013.26,1.32331,1.07613,1.17912,0.82782,0.73339,0.82609,0.57407,1.30578,1.07805,1.17164,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
